mon0_tatal_stall_0_0,mon0_all_dram_rds_0_0,mon0_l2stall_0_0,mon0_snoop_fw_wb_0_0,mon0_llcl_hits_0_0,mon0_llcl_miss_0_0,mon0_null_0_0,mon0_null_0_0
18446744073709546611,18446744073709549706,18446744073709548223,0,18446744073709551558,0,0,0
228469,136204,94161,0,13086,1812,0,0
228469,136204,94161,0,13086,1812,0,0
500530,304853,174251,0,32490,2681,0,0
500530,304853,174251,0,32490,2681,0,0
1087145,623163,333218,0,71444,2823,0,0
1087145,623163,333218,0,71444,2823,0,0
1485134,813368,432886,0,100275,3077,0,0
1485134,813368,432886,0,100275,3077,0,0
1874155,1054413,550956,0,127964,10267,0,0
1874155,1054413,550956,0,127964,10267,0,0
2521585,1426966,715799,0,179053,10912,0,0
2521585,1426966,715799,0,179053,10912,0,0
3264659,1812581,903649,0,228789,12434,0,0
3264659,1812581,903649,0,228789,12434,0,0
3555472,1987389,1004430,0,249494,12927,0,0
3555472,1987389,1004430,0,249494,12927,0,0
4166768,2348425,1158502,0,294963,13985,0,0
4166768,2348425,1158502,0,294963,13985,0,0
4709893,2688910,1308737,0,335285,21295,0,0
4709893,2688910,1308737,0,335285,21295,0,0
5276421,3018832,1458570,0,376752,23328,0,0
5276421,3018832,1458570,0,376752,23328,0,0
5880996,3255041,1608548,0,414531,23723,0,0
5880996,3255041,1608548,0,414531,23723,0,0
6226946,3461649,1706664,0,442204,24997,0,0
6226946,3461649,1706664,0,442204,24997,0,0
6547968,3621289,1805207,0,468418,25233,0,0
6547968,3621289,1805207,0,468418,25233,0,0
6753528,3751659,1886466,0,488539,25393,0,0
6753528,3751659,1886466,0,488539,25393,0,0
7080527,3926662,2006767,0,518962,25488,0,0
7080527,3926662,2006767,0,518962,25488,0,0
7355015,4082171,2112068,0,543274,25827,0,0
7355015,4082171,2112068,0,543274,25827,0,0
7731977,4288544,2257888,0,573001,26260,0,0
7731977,4288544,2257888,0,573001,26260,0,0
8104381,4449192,2361484,0,597331,26480,0,0
8104381,4449192,2361484,0,597331,26480,0,0
8519272,4669347,2505283,0,627036,26520,0,0
8519272,4669347,2505283,0,627036,26520,0,0
9032676,4917482,2653178,0,657635,26795,0,0
9032676,4917482,2653178,0,657635,26795,0,0
9215575,5019032,2692281,0,668569,26995,0,0
9215575,5019032,2692281,0,668569,26995,0,0
9872531,5414590,2842627,0,714740,28886,0,0
9872531,5414590,2842627,0,714740,28886,0,0
10444898,5795329,2997594,0,756281,35070,0,0
10444898,5795329,2997594,0,756281,35070,0,0
10843350,6050735,3157767,0,793150,40221,0,0
10843350,6050735,3157767,0,793150,40221,0,0
11218628,6252670,3313645,0,815254,40451,0,0
11218628,6252670,3313645,0,815254,40451,0,0
12239967,6888257,3786823,0,882722,60646,0,0
12239967,6888257,3786823,0,882722,60646,0,0
12688200,7155016,3913897,0,910197,62009,0,0
12688200,7155016,3913897,0,910197,62009,0,0
13175476,7448886,4037783,0,951451,62571,0,0
13175476,7448886,4037783,0,951451,62571,0,0
13395928,7593442,4106294,0,969566,62620,0,0
13395928,7593442,4106294,0,969566,62620,0,0
13861614,7847278,4245160,0,999231,68758,0,0
13861614,7847278,4245160,0,999231,68758,0,0
14203670,7923813,4334462,0,1009272,68812,0,0
14203670,7923813,4334462,0,1009272,68812,0,0
14693153,8105442,4445001,0,1037333,69248,0,0
14693153,8105442,4445001,0,1037333,69248,0,0
15007968,8221478,4520143,0,1053486,69989,0,0
15007968,8221478,4520143,0,1053486,69989,0,0
15312125,8371443,4600204,0,1078397,70043,0,0
15312125,8371443,4600204,0,1078397,70043,0,0
15626327,8518206,4739702,0,1104849,70160,0,0
15626327,8518206,4739702,0,1104849,70160,0,0
15883474,8607027,4842605,0,1123367,70195,0,0
15883474,8607027,4842605,0,1123367,70195,0,0
16219664,8735076,4968232,0,1143630,70261,0,0
16219664,8735076,4968232,0,1143630,70261,0,0
16657398,8908355,5144717,0,1169389,70817,0,0
16657398,8908355,5144717,0,1169389,70817,0,0
17055592,9083061,5260280,0,1195417,71218,0,0
17055592,9083061,5260280,0,1195417,71218,0,0
17896478,9291031,5708155,0,1224873,72227,0,0
17896478,9291031,5708155,0,1224873,72227,0,0
18288852,9719898,5849573,0,1266909,142574,0,0
18288852,9719898,5849573,0,1266909,142574,0,0
18699204,9809336,5933144,0,1281109,142619,0,0
18699204,9809336,5933144,0,1281109,142619,0,0
19052619,9923244,6011190,0,1299433,143244,0,0
19052619,9923244,6011190,0,1299433,143244,0,0
19309279,10025222,6063418,0,1311125,143719,0,0
19309279,10025222,6063418,0,1311125,143719,0,0
19875726,10271288,6199174,0,1344214,144530,0,0
19875726,10271288,6199174,0,1344214,144530,0,0
20437811,10529708,6355825,0,1372665,149384,0,0
20437811,10529708,6355825,0,1372665,149384,0,0
20946281,10678608,6511190,0,1393614,149445,0,0
20946281,10678608,6511190,0,1393614,149445,0,0
21403089,10809916,6625206,0,1414791,149508,0,0
21403089,10809916,6625206,0,1414791,149508,0,0
22003104,11034354,6769219,0,1452382,152382,0,0
22003104,11034354,6769219,0,1452382,152382,0,0
23002942,11301674,6982325,0,1502490,152875,0,0
23002942,11301674,6982325,0,1502490,152875,0,0
23548562,11469520,7090160,0,1532192,152968,0,0
23548562,11469520,7090160,0,1532192,152968,0,0
24109444,11606976,7209346,0,1555934,153224,0,0
24109444,11606976,7209346,0,1555934,153224,0,0
24840690,11826784,7339630,0,1604113,153816,0,0
24840690,11826784,7339630,0,1604113,153816,0,0
25436084,12059981,7484146,0,1643083,155004,0,0
25436084,12059981,7484146,0,1643083,155004,0,0
25934260,12218707,7584853,0,1667776,155294,0,0
25934260,12218707,7584853,0,1667776,155294,0,0
26264043,12347902,7660203,0,1690931,155386,0,0
26264043,12347902,7660203,0,1690931,155386,0,0
26724969,12496938,7812435,0,1721061,155432,0,0
26724969,12496938,7812435,0,1721061,155432,0,0
